Country Name,Year,Agricultural land (% of land area),Forest area (% of land area),Wheat Yield (tonnes/km2),Latitude,Longitude
Algeria,2010,17.37,0.81,1.48,28.0000267,2.9999826
Algeria,2011,17.38,0.81,1.74,28.0000267,2.9999826
Algeria,2012,17.38,0.81,1.76,28.0000267,2.9999826
Algeria,2013,17.4,0.81,1.91,28.0000267,2.9999826
Algeria,2014,17.4,0.82,1.48,28.0000267,2.9999826
Algeria,2015,17.41,0.82,1.46,28.0000267,2.9999826
Algeria,2016,17.37,0.82,1.18,28.0000267,2.9999826
Algeria,2017,17.36,0.82,1.15,28.0000267,2.9999826
Algeria,2018,17.36,0.81,2.04,28.0000267,2.9999826
Algeria,2019,17.35,0.81,1.96,28.0000267,2.9999826
Algeria,2020,17.35,0.82,1.68,28.0000267,2.9999826
Algeria,2021,17.35,0.82,1.58,28.0000267,2.9999826
Angola,1990,35.66,63.58,0.8,-11.87757683,17.56912422
Angola,1991,35.68,63.45,0.8,-11.87757683,17.56912422
Angola,1992,35.7,63.33,0.8,-11.87757683,17.56912422
Angola,1993,35.7,63.2,0.89,-11.87757683,17.56912422
Angola,1994,35.7,63.08,1.0,-11.87757683,17.56912422
Angola,1995,35.69,62.95,1.19,-11.87757683,17.56912422
Angola,1996,35.65,62.83,1.38,-11.87757683,17.56912422
Angola,1997,35.65,62.71,1.55,-11.87757683,17.56912422
Angola,1998,35.7,62.58,1.71,-11.87757683,17.56912422
Angola,1999,35.75,62.46,1.74,-11.87757683,17.56912422
Angola,2000,35.71,62.33,1.7,-11.87757683,17.56912422
Angola,2001,35.63,61.89,1.67,-11.87757683,17.56912422
Angola,2002,35.64,61.44,1.55,-11.87757683,17.56912422
Angola,2003,35.69,61.0,1.39,-11.87757683,17.56912422
Angola,2004,35.54,60.55,1.24,-11.87757683,17.56912422
Angola,2005,35.44,60.11,1.09,-11.87757683,17.56912422
Angola,2006,35.4,59.66,1.0,-11.87757683,17.56912422
Angola,2007,35.49,59.21,1.0,-11.87757683,17.56912422
Angola,2008,35.45,58.77,1.0,-11.87757683,17.56912422
Angola,2009,35.8,58.32,1.0,-11.87757683,17.56912422
Angola,2010,35.97,57.88,1.05,-11.87757683,17.56912422
Angola,2011,36.35,57.43,1.1,-11.87757683,17.56912422
Angola,2012,36.34,56.99,1.13,-11.87757683,17.56912422
Angola,2013,36.49,56.54,0.94,-11.87757683,17.56912422
Angola,2014,36.64,56.1,0.78,-11.87757683,17.56912422
Angola,2015,36.73,55.65,1.01,-11.87757683,17.56912422
Angola,2016,36.76,55.21,0.88,-11.87757683,17.56912422
Angola,2017,36.71,54.76,0.86,-11.87757683,17.56912422
Angola,2018,36.73,54.32,0.91,-11.87757683,17.56912422
Angola,2019,36.8,53.87,0.88,-11.87757683,17.56912422
Angola,2020,36.81,53.43,0.88,-11.87757683,17.56912422
Angola,2021,36.81,52.98,0.89,-11.87757683,17.56912422
Argentina,1990,46.61,12.86,1.89,-34.99649811,-64.96728516
Argentina,1991,46.65,12.8,1.9,-34.99649811,-64.96728516
Argentina,1992,46.68,12.73,2.18,-34.99649811,-64.96728516
Argentina,1993,46.72,12.66,2.33,-34.99649811,-64.96728516
Argentina,1994,46.75,12.6,2.02,-34.99649811,-64.96728516
Argentina,1995,46.79,12.53,2.17,-34.99649811,-64.96728516
Argentina,1996,46.82,12.46,1.93,-34.99649811,-64.96728516
Argentina,1997,46.86,12.4,2.24,-34.99649811,-64.96728516
Argentina,1998,46.89,12.33,2.61,-34.99649811,-64.96728516
Argentina,1999,46.92,12.26,2.3,-34.99649811,-64.96728516
Argentina,2000,46.96,12.2,2.49,-34.99649811,-64.96728516
Argentina,2001,46.99,12.08,2.49,-34.99649811,-64.96728516
Argentina,2002,47.03,11.97,2.24,-34.99649811,-64.96728516
Argentina,2003,47.17,11.85,2.04,-34.99649811,-64.96728516
Argentina,2004,47.32,11.73,2.54,-34.99649811,-64.96728516
Argentina,2005,47.47,11.62,2.64,-34.99649811,-64.96728516
Argentina,2006,47.55,11.5,2.53,-34.99649811,-64.96728516
Argentina,2007,47.49,11.39,2.62,-34.99649811,-64.96728516
Argentina,2008,46.42,11.27,2.83,-34.99649811,-64.96728516
Argentina,2009,45.43,11.16,1.96,-34.99649811,-64.96728516
Argentina,2010,46.14,11.04,2.71,-34.99649811,-64.96728516
Argentina,2011,45.79,10.96,3.51,-34.99649811,-64.96728516
Argentina,2012,45.58,10.88,3.22,-34.99649811,-64.96728516
Argentina,2013,44.92,10.8,2.66,-34.99649811,-64.96728516
Argentina,2014,44.28,10.71,2.66,-34.99649811,-64.96728516
Argentina,2015,44.12,10.63,2.81,-34.99649811,-64.96728516
Argentina,2016,43.48,10.6,2.86,-34.99649811,-64.96728516
Argentina,2017,42.99,10.56,3.3,-34.99649811,-64.96728516
